"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2024-55051-19/09/2025","01",1,"SA","Motor Cars - Sedan","2021","West","Female","034","SA","C","Full","Not Towing","Right Turn","001","5161",,
"2024-55051-19/09/2025","02",1,"SA","Station Wagon","2014","East","Female","074","SA","C","Full","Not Towing","Straight Ahead","002","5162",,
"2024-55052-19/09/2025","01",0,"SA","Utility","2008","South","Male","027","SA","C","Full","Not Towing","Stopped on Carriageway","002","5159",,
"2024-55052-19/09/2025","02",0,"SA","Motor Cars - Sedan","2019","South","Male","032","SA","C","Full","Not Towing","Straight Ahead","001","5114",,
"2024-55053-19/09/2025","01",0,"SA","Station Wagon","2017","North East","Male","032","SA","C","Full","Not Towing",,"001","5125",,
"2024-55053-19/09/2025","02",0,"SA","Motor Cars - Sedan","2023","North East","Male","060","SA","C","Full","Not Towing","Entering Private Driveway","001","5093",,
"2024-55054-19/09/2025","01",1,"SA","Station Wagon","2012","North West","Female","077","SA","C","Full","Not Towing","Right Turn","001","5051",,
"2024-55054-19/09/2025","02",0,"SA","Motor Cars - Sedan","2010","East","Female","018","SA","C","Provisional 2","Not Towing","Straight Ahead","001","5253",,
"2024-55055-19/09/2025","01",0,"SA","Utility","2023","North East","Male","048","SA","C","Full","Not Towing","Stopped on Carriageway","001","5118",,
"2024-55055-19/09/2025","02",0,"SA","Station Wagon","2020","North East","Female","044","SA","CR","Full","Not Towing","Straight Ahead","002","5108",,
"2024-55056-19/09/2025","01",0,"SA","Motor Cars - Sedan","2018","South","Male","061","SA","C","Full","Not Towing","Straight Ahead","002","5008",,
"2024-55056-19/09/2025","02",0,"SA","OMNIBUS","2004","South","Female","051","SA","HR","Full","Not Towing","Stopped on Carriageway","012","5112",,
"2024-55057-19/09/2025","01",0,"SA","Panel Van","2009","East","Female","046","SA","C","Full","Not Towing","Straight Ahead","001","5251",,
"2024-55057-19/09/2025","02",0,,"Wire Rope Barrier",,,,,,,,,,,,,
